Time,Approximation,Real,Error
1.000000,0.000000,0.000000,0.000000
1.400000,1.200000,0.336472,0.863528
1.800000,2.268128,0.587787,1.680341
2.200000,3.247860,0.788457,2.459402
2.600000,4.168337,0.955511,3.212826
3.000000,5.049096,1.098612,3.950484
3.400000,5.903230,1.223775,4.679455
3.800000,6.739517,1.335001,5.404516
4.200000,7.563841,1.435085,6.128757
4.600000,8.380146,1.526056,6.854090
5.000000,9.191076,1.609438,7.581638
5.400000,9.998402,1.686399,8.312003
5.800000,10.803313,1.757858,9.045455
6.200000,11.606605,1.824549,9.782055
6.600000,12.408811,1.887070,10.521742
7.000000,13.210290,1.945910,11.264380
7.400000,14.011282,2.001480,12.009802
7.800000,14.811947,2.054124,12.757823
8.200000,15.612392,2.104134,13.508258
8.600000,16.412691,2.151762,14.260929
9.000000,17.212891,2.197225,15.015666
