Time,Approximation,Real,Error
0.000000,1.000000,1.000000,0.160000,1.172800,1.173511,0.000711
0.320000,1.375460,1.377128,0.001668
0.480000,1.613139,1.616074,0.002935
0.640000,1.891890,1.896481,0.004591
0.800000,2.218808,2.225541,0.006733
0.960000,2.602218,2.611696,0.009478
1.120000,3.051882,3.064854,0.012972
1.280000,3.579247,3.596640,0.017393
1.440000,4.197741,4.220696,0.022955
1.600000,4.923110,4.953032,0.029922
1.760000,5.773824,5.812437,0.038614
1.920000,6.771541,6.820958,0.049418
2.080000,7.941663,8.004469,0.062806
2.240000,9.313982,9.393331,0.079349
2.400000,10.923438,11.023176,0.099738
2.560000,12.811008,12.935817,0.124809
2.720000,15.024751,15.180322,0.155572
2.880000,17.621028,17.814273,0.193246
3.040000,20.665941,20.905243,0.239302
3.200000,24.237016,24.532530,0.295514
3.360000,28.425172,28.789191,0.364019
3.520000,33.337042,33.784428,0.447387
3.680000,39.097683,39.646394,0.548711
3.840000,45.853762,46.525474,0.671712
4.000000,53.777292,54.598150,0.820858
4.160000,63.070009,64.071523,1.001514
4.320000,73.968506,75.188628,1.220122
4.480000,86.750264,88.234673,1.484409
4.640000,101.740709,103.544348,1.803638
4.800000,119.321504,121.510418,2.188913
4.960000,139.940260,142.593796,2.653536
5.120000,164.121937,167.335370,3.213433
5.280000,192.482208,196.369875,3.887668
5.440000,225.743133,230.442183,4.699050
5.600000,264.751546,270.426407,5.674861
5.760000,310.500614,317.348329,6.847715
5.920000,364.155120,372.411714,8.256594
6.080000,427.081124,437.029195,9.948070
6.240000,500.880743,512.858511,11.977768
6.400000,587.432935,601.845038,14.412103
6.560000,688.941346,706.271695,17.330349
6.720000,807.990411,828.817511,20.827101
6.880000,947.611153,972.626360,25.015206
7.040000,1111.358361,1141.387607,30.029246
7.200000,1303.401086,1339.430764,36.029679
7.360000,1528.628793,1571.836563,43.207770
7.520000,1792.775849,1844.567294,51.791445
7.680000,2102.567515,2164.619772,62.052257
7.840000,2465.891182,2540.204834,74.313652
8.000000,2891.997178,2980.957987,88.960809
