dt,beta,g,tau,trial,initMacro,initCoral,initTurf,macroalgae,coral,turf,lgMacro,lgCoral,lgTurf
0.000100,0.100000,0.300000,0.500000,1,0.282636,0.249101,0.468264,0.000558,0.556671,0.442771,0.593022,0.000771,0.406207
0.000100,0.100000,0.300000,0.500000,2,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,3,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,4,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,5,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,6,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,7,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,8,0.282636,0.249101,0.468264,0.531851,0.010510,0.457639,0.595947,0.000657,0.403396
0.000100,0.100000,0.300000,0.500000,9,0.282636,0.249101,0.468264,0.587465,0.000021,0.412514,0.614425,0.000027,0.385548
0.000100,0.100000,0.300000,0.500000,10,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,11,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,12,0.282636,0.249101,0.468264,0.603580,0.000189,0.396231,0.620480,0.000086,0.379434
0.000100,0.100000,0.300000,0.500000,13,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,14,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.595236,0.001028,0.403735
0.000100,0.100000,0.300000,0.500000,15,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,16,0.282636,0.249101,0.468264,0.725451,0.000057,0.274493,0.662426,0.000035,0.337539
0.000100,0.100000,0.300000,0.500000,17,0.282636,0.249101,0.468264,0.595768,0.000036,0.404197,0.616838,0.000031,0.383131
0.000100,0.100000,0.300000,0.500000,18,0.282636,0.249101,0.468264,0.515340,0.000028,0.484632,0.582324,0.000035,0.417642
0.000100,0.100000,0.300000,0.500000,19,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,20,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,21,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,22,0.282636,0.249101,0.468264,0.512007,0.000166,0.487826,0.580770,0.000085,0.419145
0.000100,0.100000,0.300000,0.500000,23,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,24,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.583366,0.017789,0.398845
0.000100,0.100000,0.300000,0.500000,25,0.282636,0.249101,0.468264,0.637010,0.000035,0.362955,0.632672,0.000035,0.367292
0.000100,0.100000,0.300000,0.500000,26,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,27,0.282636,0.249101,0.468264,0.613167,0.000020,0.386813,0.623764,0.000040,0.376196
0.000100,0.100000,0.300000,0.500000,28,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,29,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,30,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,31,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000001,0.559998,0.440002
0.000100,0.100000,0.300000,0.500000,32,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,33,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
0.000100,0.100000,0.300000,0.500000,34,0.282636,0.249101,0.468264,0.000000,0.560000,0.440000,0.000000,0.560000,0.440000
