dt,beta,g,tau,trial,theta,initMacro,initCoral,lgMacro,lgCoral
1e-05,0.1,0.15,0.5,1,0.0747998,0.0598322,0.00448381,0.824699,0.0046059
1e-05,0.1,0.15,0.5,2,0.0747998,0.0598322,0.00448381,0.807912,0.00444154
1e-05,0.1,0.15,0.5,3,0.0747998,0.0598322,0.00448381,0.816383,0.00374161
1e-05,0.1,0.15,0.5,4,0.0747998,0.0598322,0.00448381,0.790334,0.0062657
1e-05,0.1,0.15,0.5,5,0.0747998,0.0598322,0.00448381,0.773242,0.00510727
1e-05,0.1,0.15,0.5,6,0.0747998,0.0598322,0.00448381,0.785821,0.00357416
1e-05,0.1,0.15,0.5,7,0.0747998,0.0598322,0.00448381,0.771392,0.00553562
1e-05,0.1,0.15,0.5,8,0.0747998,0.0598322,0.00448381,0.784427,0.00410297
1e-05,0.1,0.15,0.5,9,0.0747998,0.0598322,0.00448381,0.776026,0.00431762
1e-05,0.1,0.15,0.5,10,0.0747998,0.0598322,0.00448381,0.799774,0.00441102
1e-05,0.1,0.15,0.5,11,0.0747998,0.0598322,0.00448381,0.812212,0.00360881
1e-05,0.1,0.15,0.5,12,0.0747998,0.0598322,0.00448381,0.783667,0.00566405
1e-05,0.1,0.15,0.5,13,0.0747998,0.0598322,0.00448381,0.762049,0.00797585
1e-05,0.1,0.15,0.5,14,0.0747998,0.0598322,0.00448381,0.789508,0.00562785
1e-05,0.1,0.15,0.5,15,0.0747998,0.0598322,0.00448381,0.801385,0.00352439
1e-05,0.1,0.15,0.5,16,0.0747998,0.0598322,0.00448381,0.782891,0.00519529
1e-05,0.1,0.15,0.5,17,0.0747998,0.0598322,0.00448381,0.754282,0.00462542
1e-05,0.1,0.15,0.5,18,0.0747998,0.0598322,0.00448381,0.798208,0.00337542
1e-05,0.1,0.15,0.5,19,0.0747998,0.0598322,0.00448381,0.773297,0.00471549
1e-05,0.1,0.15,0.5,20,0.0747998,0.0598322,0.00448381,0.763002,0.0045195
1e-05,0.1,0.15,0.5,21,0.0747998,0.0598322,0.00448381,0.779191,0.00545294
1e-05,0.1,0.15,0.5,22,0.0747998,0.0598322,0.00448381,0.812016,0.00353695
1e-05,0.1,0.15,0.5,23,0.0747998,0.0598322,0.00448381,0.767079,0.00389426
1e-05,0.1,0.15,0.5,24,0.0747998,0.0598322,0.00448381,0.784436,0.00476668
1e-05,0.1,0.15,0.5,25,0.0747998,0.0598322,0.00448381,0.798761,0.00431317
