dt,beta,g,tau,trial,theta,initMacro,initCoral,initTurf,lgMacro,lgCoral
1e-05,0.2,0.2,0.6,1,0.0981748,0.0597111,0.00588103,0.934408,0.774766,0.000135295
1e-05,0.2,0.2,0.6,2,0.0981748,0.0596657,0.00588106,0.934453,0.780831,0.00013383
1e-05,0.2,0.2,0.6,3,0.0981748,0.759565,0.000143431,0.240291,0.71923,0.00126119
1e-05,0.2,0.2,0.6,1,0.19635,0.759711,0.000143431,0.240146,0.75667,0.000970123
1e-05,0.2,0.2,0.6,2,0.19635,0.75339,0.00102597,0.245584,0.773732,9.42118e-06
1e-05,0.2,0.2,0.6,3,0.19635,0.75317,0.00102597,0.245804,0.718031,6.922e-06
1e-05,0.2,0.2,0.6,1,0.294524,0.73388,7.25888e-06,0.266113,0.788769,1.27915e-10
1e-05,0.2,0.2,0.6,2,0.294524,0.733806,7.25888e-06,0.266187,0.788118,7.99835e-11
1e-05,0.2,0.2,0.6,1,0.392699,0.0554328,0.022961,0.921606,0.789383,0.010993
1e-05,0.2,0.2,0.6,3,0.294524,0.766725,8.475e-11,0.233275,0.769379,0.0103276
1e-05,0.2,0.2,0.6,2,0.392699,0.788817,0.0109854,0.200197,0.709339,7.00908e-07
1e-05,0.2,0.2,0.6,3,0.392699,0.788992,0.0109854,0.200022,0.749903,4.55355e-07
1e-05,0.2,0.2,0.6,2,0.490874,0.712941,4.76949e-07,0.287058,0.770641,8.47343e-12
1e-05,0.2,0.2,0.6,1,0.490874,0.712858,4.76949e-07,0.287142,0.731311,6.37699e-12
1e-05,0.2,0.2,0.6,3,0.490874,0.732475,6.68937e-12,0.267525,0.782145,3.77675e-16
1e-05,0.2,0.2,0.6,1,0.589049,0.732595,6.68937e-12,0.267405,0.712671,1.74242e-16
1e-05,0.2,0.2,0.6,2,0.589049,0.731513,1.82622e-16,0.268487,0.712901,2.89191e-20
1e-05,0.2,0.2,0.6,3,0.589049,0.731513,1.82622e-16,0.268487,0.744043,1.50487e-20
1e-05,0.2,0.2,0.6,2,0.687223,0.75925,1.58857e-20,0.24075,0.728256,1.34813e-24
1e-05,0.2,0.2,0.6,1,0.687223,0.759288,1.58857e-20,0.240712,0.749537,1.33154e-24
1e-05,0.2,0.2,0.6,1,0.785398,0.760059,1.40394e-24,0.239941,0.73744,1.06754e-28
1e-05,0.2,0.2,0.6,3,0.687223,0.759832,1.40394e-24,0.240168,0.727172,1.0144e-28
1e-05,0.2,0.2,0.6,2,0.785398,0.739476,1.06559e-28,0.260524,0.739017,4.60033e-33
1e-05,0.2,0.2,0.6,3,0.785398,0.739306,1.06559e-28,0.260694,0.74305,4.26092e-33
1e-05,0.2,0.2,0.6,1,0.883573,0.741822,4.48855e-33,0.258178,0.683046,3.11684e-37
1e-05,0.2,0.2,0.6,2,0.883573,0.741769,4.48855e-33,0.258231,0.725907,2.69661e-37
1e-05,0.2,0.2,0.6,3,0.883573,0.706711,2.82486e-37,0.293289,0.73065,3.6565e-05
1e-05,0.2,0.2,0.6,1,0.981748,0.706773,2.82486e-37,0.293227,0.745859,2.95377e-05
1e-05,0.2,0.2,0.6,3,0.981748,0.717911,3.10115e-05,0.282058,0.714965,8.46192e-09
1e-05,0.2,0.2,0.6,2,0.981748,0.717769,3.10115e-05,0.2822,0.670789,8.06763e-09
1e-05,0.2,0.2,0.6,1,1.07992,0.716759,8.39251e-09,0.283241,0.735096,2.76774e-13
1e-05,0.2,0.2,0.6,2,1.07992,0.716752,8.39251e-09,0.283248,0.73581,2.6986e-13
1e-05,0.2,0.2,0.6,1,1.1781,0.728971,2.8391e-13,0.271029,0.767538,2.63129e-17
