dt,beta,g,tau,trial,theta,initMacro,initCoral,initTurf,lgMacro,lgCoral
1e-05,0.2,0.2,0.5,1,0.0981748,0.0597111,0.00588103,0.934408,0.0074234,0.536408
1e-05,0.2,0.2,0.5,2,0.0981748,0.0597886,0.00588106,0.93433,0.00749618,0.544749
1e-05,0.2,0.2,0.5,4,0.0981748,0.007382,0.542651,0.449967,0.309067,0.283522
1e-05,0.2,0.2,0.5,3,0.0981748,0.00737973,0.542651,0.44997,0.312195,0.276349
1e-05,0.2,0.2,0.5,5,0.0981748,0.309597,0.284859,0.405544,0.69483,0.00508706
1e-05,0.2,0.2,0.5,6,0.0981748,0.309842,0.284859,0.405299,0.714405,0.00486058
1e-05,0.2,0.2,0.5,7,0.0981748,0.704716,0.005671,0.289613,0.684165,9.99977e-06
1e-05,0.2,0.2,0.5,8,0.0981748,0.704696,0.005671,0.289633,0.672328,9.84094e-06
1e-05,0.2,0.2,0.5,10,0.0981748,0.645627,1.07666e-05,0.354362,1.19291e-07,0.559997
1e-05,0.2,0.2,0.5,9,0.0981748,0.645613,1.07666e-05,0.354376,9.60338e-08,0.559998
1e-05,0.2,0.2,0.5,11,0.0981748,1.03639e-07,0.559997,0.440003,1.71911e-17,0.56
1e-05,0.2,0.2,0.5,12,0.0981748,0,0.559997,0.440003,1.68633e-17,0.56
1e-05,0.2,0.2,0.5,14,0.0981748,0,0.56,0.44,1.59507e-28,0.56
1e-05,0.2,0.2,0.5,13,0.0981748,2.48156e-17,0.56,0.44,1.6823e-28,0.56
1e-05,0.2,0.2,0.5,15,0.0981748,1.68445e-28,0.56,0.44,2.2987e-19,0.56
1e-05,0.2,0.2,0.5,16,0.0981748,0,0.56,0.44,1.91113e-19,0.56
1e-05,0.2,0.2,0.5,18,0.0981748,0,0.56,0.44,1.52286e-14,0.56
1e-05,0.2,0.2,0.5,17,0.0981748,1.73765e-19,0.56,0.44,1.43189e-14,0.56
1e-05,0.2,0.2,0.5,19,0.0981748,1.64541e-14,0.56,0.44,2.49772e-15,0.56
1e-05,0.2,0.2,0.5,20,0.0981748,0,0.56,0.44,2.4384e-15,0.56
1e-05,0.2,0.2,0.5,21,0.0981748,2.57051e-15,0.56,0.44,0.793334,0.0120909
1e-05,0.2,0.2,0.5,22,0.0981748,0,0.56,0.44,0.764633,0.00980633
1e-05,0.2,0.2,0.5,24,0.0981748,0.766807,0.0113934,0.2218,0.409943,0.0345177
1e-05,0.2,0.2,0.5,23,0.0981748,0.767041,0.0113934,0.221565,0.560969,0.0336875
1e-05,0.2,0.2,0.5,26,0.0981748,0.511985,0.0349016,0.453113,0.732234,0.0111497
1e-05,0.2,0.2,0.5,25,0.0981748,0.511832,0.0349016,0.453267,0.752483,0.0100386
1e-05,0.2,0.2,0.5,27,0.0981748,0.722611,0.0114801,0.265909,1.19546e-05,0.559914
1e-05,0.2,0.2,0.5,28,0.0981748,0.722758,0.0114801,0.265762,8.5129e-06,0.559953
1e-05,0.2,0.2,0.5,29,0.0981748,1.12707e-05,0.559941,0.440048,0.654193,0.000757287
1e-05,0.2,0.2,0.5,30,0.0981748,1.11474e-05,0.559941,0.440048,0.670443,0.000616227
1e-05,0.2,0.2,0.5,32,0.0981748,0.65934,0.000672243,0.339988,0.111258,0.432055
1e-05,0.2,0.2,0.5,31,0.0981748,0.659149,0.000672243,0.340179,0.114252,0.432148
1e-05,0.2,0.2,0.5,34,0.0981748,0.122077,0.43358,0.444343,1.92248e-05,0.559985
