dt,alpha,beta,xTrue,xEuler,xMilstein,ErrorEuler,ErrorMilstein
0.000100,-2.000000,0.250000,0.156510,0.156482,0.156482,0.000028,0.000028
0.000200,-2.000000,0.250000,0.224168,0.224110,0.224121,0.000058,0.000047
0.000300,-2.000000,0.250000,0.097891,0.097816,0.097811,0.000074,0.000079
0.000400,-2.000000,0.250000,0.109581,0.109611,0.109472,0.000030,0.000109
0.000500,-2.000000,0.250000,0.173517,0.173288,0.173380,0.000229,0.000137
0.000600,-2.000000,0.250000,0.118422,0.118320,0.118257,0.000102,0.000165
0.000700,-2.000000,0.250000,0.184229,0.184044,0.184042,0.000185,0.000187
0.000800,-2.000000,0.250000,0.087698,0.087574,0.087492,0.000124,0.000206
0.000900,-2.000000,0.250000,0.125385,0.125079,0.125133,0.000306,0.000251
0.001000,-2.000000,0.250000,0.081136,0.080847,0.080885,0.000289,0.000251
0.001100,-2.000000,0.250000,0.110118,0.109863,0.109818,0.000255,0.000300
0.001200,-2.000000,0.250000,0.220013,0.218906,0.219724,0.001107,0.000289
0.001300,-2.000000,0.250000,0.127400,0.126829,0.127036,0.000570,0.000364
0.001400,-2.000000,0.250000,0.110332,0.110074,0.109950,0.000259,0.000383
0.001500,-2.000000,0.250000,0.193405,0.192556,0.193012,0.000848,0.000392
0.001600,-2.000000,0.250000,0.148050,0.147322,0.147602,0.000728,0.000448
0.001700,-2.000000,0.250000,0.083813,0.083549,0.083382,0.000264,0.000431
0.001800,-2.000000,0.250000,0.148605,0.147903,0.148100,0.000702,0.000505
0.001900,-2.000000,0.250000,0.118581,0.118118,0.118053,0.000463,0.000528
0.002000,-2.000000,0.250000,0.132347,0.131792,0.131787,0.000554,0.000559
0.002100,-2.000000,0.250000,0.217822,0.217703,0.217313,0.000119,0.000509
0.002200,-2.000000,0.250000,0.120758,0.120282,0.120148,0.000477,0.000610
0.002300,-2.000000,0.250000,0.111106,0.110420,0.110479,0.000687,0.000627
0.002400,-2.000000,0.250000,0.110417,0.110226,0.109764,0.000191,0.000653
0.002500,-2.000000,0.250000,0.086569,0.085953,0.085928,0.000616,0.000641
0.002600,-2.000000,0.250000,0.172565,0.172010,0.171858,0.000555,0.000707
0.002700,-2.000000,0.250000,0.090919,0.089906,0.090214,0.001013,0.000705
0.002800,-2.000000,0.250000,0.108519,0.107300,0.107757,0.001219,0.000762
