Time,Approximation,Real,Error
0.000000,1.000000,1.000000,0.400000,1.480000,1.491825,0.011825
0.800000,2.190400,2.225541,0.035141
1.200000,3.241792,3.320117,0.078325
1.600000,4.797852,4.953032,0.155180
2.000000,7.100821,7.389056,0.288235
2.400000,10.509215,11.023176,0.513961
2.800000,15.553639,16.444647,0.891008
3.200000,23.019385,24.532530,1.513145
3.600000,34.068690,36.598234,2.529544
4.000000,50.421662,54.598150,4.176488
4.400000,74.624059,81.450869,6.826809
4.800000,110.443608,121.510418,11.066810
5.200000,163.456539,181.272242,17.815702
5.600000,241.915678,270.426407,28.510729
6.000000,358.035204,403.428793,45.393590
6.400000,529.892102,601.845038,71.952936
6.800000,784.240311,897.847292,113.606981
7.200000,1160.675660,1339.430764,178.755104
7.600000,1717.799977,1998.195895,280.395918
8.000000,2542.343965,2980.957987,438.614022
